message_id,text,label,category
msg_259,Happy Birthday Harrison! Wishing you a great year ahead.,0,safe
msg_84,URGENT: Your FedEx package FDX1531 is on hold due to unpaid customs fee of ₹271. Pay here to release: http://pai-dhar-update.com/kyc,1,scam
msg_97,[HDFC Bank] Your NetBanking is temporarily disabled. Click http://sagar-pai-update.com/kyc to verify your identity.,1,scam
msg_52,TRAI Alert: Your mobile number 05426114169 will be disconnected in 2 hours for illegal activity. Call 1800-11-2233 or press 9.,1,scam
msg_239,The flight 6E-841 is delayed by 30 mins due to weather.,0,safe
msg_20,[HDFC Bank] Your NetBanking is temporarily disabled. Click http://devi-update.com/kyc to verify your identity.,1,scam
msg_115,Sir we are calling from Amazon customer support. Someone purchased iPhone 15 from your card. Call us at 07650928706 to cancel.,1,scam
msg_90,[HDFC Bank] Your NetBanking is temporarily disabled. Click http://lall-update.com/kyc to verify your identity.,1,scam
msg_230,Remember to pick up groceries on your way back home.,0,safe
msg_276,Can you call me when you have a minute? Need to discuss the presentation.,0,safe
msg_299,Can you call me when you have a minute? Need to discuss the presentation.,0,safe
msg_210,Can you call me when you have a minute? Need to discuss the presentation.,0,safe
msg_205,Remember to pick up groceries on your way back home.,0,safe
msg_315,"Hey Jackson, are we still meeting for chai at 12 PM?",0,safe
msg_0,Congratulations! You have won ₹441369 in the Jio lucky draw. Send ₹153 registration fee to UPI: mraj@ybl to claim.,1,scam
msg_12,Congratulations! You have won ₹57387 in the Jio lucky draw. Send ₹308 registration fee to UPI: nathanielbajwa@ybl to claim.,1,scam
msg_19,Congratulations! You have won ₹346460 in the Jio lucky draw. Send ₹327 registration fee to UPI: lraja@ybl to claim.,1,scam
msg_290,Your Amazon package AMZ1473 is out for delivery today.,0,safe
msg_108,URGENT: Your FedEx package FDX3224 is on hold due to unpaid customs fee of ₹1570. Pay here to release: http://sankar-bajwa-update.com/kyc,1,scam
msg_215,Can you call me when you have a minute? Need to discuss the presentation.,0,safe
msg_194,Your Amazon package AMZ1499 is out for delivery today.,0,safe
msg_63,TRAI Alert: Your mobile number 00575822834 will be disconnected in 2 hours for illegal activity. Call 1800-11-2233 or press 9.,1,scam
msg_125,HR Team: Your resume has been selected for remote data entry job. Rs 2000/day. Message on Whatsapp: http://dayal-update.com/kyc,1,scam
msg_151,URGENT: Your FedEx package FDX7953 is on hold due to unpaid customs fee of ₹1759. Pay here to release: http://chowdhury-korpal-update.com/kyc,1,scam
msg_105,Sir we are calling from Amazon customer support. Someone purchased iPhone 15 from your card. Call us at 02708831126 to cancel.,1,scam
msg_225,Can you call me when you have a minute? Need to discuss the presentation.,0,safe
msg_238,The flight 6E-526 is delayed by 30 mins due to weather.,0,safe
msg_107,Sir we are calling from Amazon customer support. Someone purchased iPhone 15 from your card. Call us at +912086663491 to cancel.,1,scam
msg_291,Meeting is scheduled for tomorrow at 10 AM in the main conference room.,0,safe
msg_87,"Dear customer, your SBI account 5102 will be blocked today due to pending KYC. Please update PAN immediately: http://bhasin-update.com/kyc",1,scam
msg_159,TRAI Alert: Your mobile number 3870561718 will be disconnected in 2 hours for illegal activity. Call 1800-11-2233 or press 9.,1,scam
msg_24,HR Team: Your resume has been selected for remote data entry job. Rs 2000/day. Message on Whatsapp: http://chandran-update.com/kyc,1,scam
msg_340,Mom said dinner is ready. Come to the dining table.,0,safe
